verse,time
1,00:00:27:11
2,00:00:44:11
3,00:01:08:20
4,00:01:30:09
5,00:01:59:18
6,00:02:41:25
7,00:03:19:24
8,00:03:49:26
9,00:03:56:13
10,00:04:21:17
11,00:04:47:19
12,00:05:47:07
13,00:06:00:15
14,00:06:28:12
15,00:06:50:10
16,00:07:17:22
17,00:07:46:03
18,00:08:20:21
19,00:09:08:26
20,00:09:40:17
21,00:09:53:21
22,00:10:11:29
23,00:10:28:04
24,00:11:27:04
25,00:11:59:03
26,00:12:25:23
27,00:12:52:19
28,00:13:19:21
29,00:13:36:18
30,00:14:09:09
31,00:14:36:20
32,00:15:08:29
33,00:15:30:01
34,00:15:39:10
