verse,time
1,00:00:17:24
2,00:00:21:13
3,00:00:29:01
4,00:00:44:00
5,00:00:56:27
6,00:01:10:31
7,00:01:20:02
8,00:01:26:37
9,00:01:43:51
10,00:01:54:16
11,00:02:02:19
12,00:02:12:14
13,00:02:31:05
14,00:02:43:47
15,00:02:49:43
16,00:03:06:49
17,00:03:11:39
18,00:03:20:03
19,00:03:44:34
20,00:04:03:48
21,00:04:23:36
22_23,00:04:27:33
24,00:04:33:34
25,00:04:37:23
26,00:04:52:12
27,00:05:07:33
28,00:05:12:58
29,00:05:18:16
30,00:05:32:56
31,00:05:39:23
32,00:05:52:26
33,00:06:13:03
34,00:06:40:33
35,00:06:51:41
36,00:06:59:51
37,00:07:13:02
38,00:07:22:17
