verse,time
1,00:00:23:08
2,00:00:37:18
3,00:00:54:04
4,00:01:07:20
5,00:01:19:13
6,00:01:36:27
7,00:01:52:06
8,00:02:05:05
9,00:02:28:10
10,00:02:39:20
11,00:02:44:09
12,00:02:50:23
13,00:03:05:11
14,00:03:21:11
15,00:03:42:17
16,00:03:55:17
17,00:04:10:18
18,00:04:21:11
19,00:04:34:01
20,00:04:49:11
21,00:04:56:11
22,00:05:10:01
23,00:05:22:16
24,00:05:37:07
25,00:05:55:03
26,00:06:09:21
27,00:06:22:14
28,00:06:56:13
29,00:07:01:18
30,00:07:09:05
31,00:07:21:25
32,00:07:41:07
33,00:07:51:27
34,00:08:03:18
35,00:08:23:03
36,00:08:40:08
37,00:08:58:09
38,00:09:04:19
39,00:09:15:00
40,00:09:30:02
41,00:09:44:17
42,00:09:49:22
43,00:10:05:21
44,00:10:31:00
45,00:10:51:29
46,00:11:41:04
47,00:11:55:02
48,00:12:01:23
49,00:12:29:12
50,00:12:48:19
51,00:13:22:24
52,00:13:45:12
53,00:14:07:00
54,00:14:14:16
55,00:14:40:04
56,00:15:02:06
57,00:15:23:08
