verse,time
1,00:00:19:35
2,00:00:31:19
3,00:00:49:20
4,00:01:09:52
5,00:01:23:14
6,00:01:29:58
7,00:01:41:56
8,00:02:06:31
9,00:02:25:38
10,00:02:39:23
11,00:02:43:51
12,00:02:59:23
13,00:03:08:14
14,00:03:15:23
15,00:03:24:37
16,00:03:40:16
17,00:04:02:00
18,00:04:15:27
19,00:04:33:51
20,00:04:47:26
21,00:04:57:27
22,00:05:13:07
23,00:05:30:13
24,00:05:33:57
25,00:05:50:59
26,00:06:05:08
27,00:06:14:02
28,00:06:31:02
29,00:06:41:43
30,00:06:51:42
31,00:07:03:09
32,00:07:19:49
33,00:07:30:20
34,00:07:38:13
35,00:07:58:16
36,00:08:12:14
37,00:08:18:04
38,00:08:24:04
39,00:08:32:01
40,00:08:49:34
41,00:09:00:43
