verse,time
1,00:00:20:15
2,00:00:53:17
3,00:01:09:48
4,00:01:28:15
5,00:02:01:16
6,00:02:30:02
7,00:02:45:43
8_9,00:03:01:44
10,00:03:41:05
11_12,00:04:19:02
13,00:05:06:14
14,00:05:57:27
15,00:06:13:59
16,00:06:38:49
17,00:06:52:28
18,00:07:00:16
19,00:07:12:06
20,00:07:57:10
21,00:08:21:08
22,00:08:35:49
23,00:08:58:43
24,00:09:06:29
25_26,00:09:44:34
27,00:10:37:26
28,00:11:02:16
29,00:11:27:33
30,00:11:44:26
31,00:12:05:58
32,00:12:44:22
33,00:13:10:15
34,00:13:34:21
35,00:13:47:56
36,00:14:26:13
37,00:14:37:59
38,00:15:00:03
39,00:15:17:03
40,00:15:30:49
