verse,time
1,00:00:18:51
2,00:00:23:26
3,00:00:40:44
4,00:00:58:01
5,00:01:07:25
6,00:01:24:49
7,00:01:39:30
8,00:01:52:50
9,00:02:09:56
10,00:02:25:10
11,00:02:43:25
12,00:02:54:55
13,00:03:03:59
14,00:03:20:14
15,00:03:38:05
16,00:03:56:23
17,00:04:22:54
18,00:04:34:33
19,00:04:56:42
20,00:05:10:34
21,00:05:21:52
22,00:05:35:16
23,00:05:52:09
24,00:06:02:25
25,00:06:10:45
26,00:06:21:12
27,00:06:41:43
28,00:07:12:56
29,00:07:38:20
30,00:07:54:15
31,00:08:08:30
32,00:08:23:33
33,00:08:54:17
34,00:09:14:24
