verse,time
1,00:00:26:09
2,00:00:45:07
3,00:01:18:06
4,00:01:30:22
5,00:01:37:23
6,00:02:17:18
7,00:02:28:09
8,00:02:51:19
9,00:03:17:07
10,00:03:29:17
11,00:03:39:19
12,00:04:06:04
13,00:04:26:07
14,00:04:39:23
15,00:04:58:13
16,00:05:06:11
17,00:05:13:05
18,00:05:30:12
19,00:05:48:09
20,00:06:07:17
21,00:06:19:20
22,00:06:32:04
23,00:06:56:20
24,00:07:08:19
25,00:07:14:29
26,00:07:54:29
27,00:08:43:12
28,00:09:04:29
29,00:09:22:17
30,00:09:44:21
31,00:10:00:14
32,00:10:14:04
33,00:10:31:00
34,00:11:09:08
35,00:11:35:14
36,00:12:05:19
37,00:12:26:06
38,00:12:37:23
39,00:13:10:19
40,00:13:31:09
41,00:13:45:26
42,00:13:58:13
43,00:14:09:06
44,00:14:37:03
45,00:14:51:26
46,00:15:06:13
47,00:15:26:02
48,00:15:43:24
49,00:15:57:25
50_51,00:16:33:09
52,00:17:13:14
53,00:17:20:00
54,00:17:49:26
55,00:18:01:27
56,00:18:20:08
