verse,time
1,00:00:18:08
2_3,00:00:37:11
4,00:01:05:10
5,00:01:23:02
6,00:01:58:27
7_8,00:02:19:22
9,00:02:48:17
10,00:03:01:22
11,00:03:20:01
12,00:03:34:23
13,00:03:50:26
14,00:04:27:23
15,00:05:01:22
16,00:05:16:06
17,00:05:37:26
18,00:05:47:24
19,00:06:08:05
20,00:06:33:01
21,00:07:19:29
22,00:07:36:10
23,00:07:51:06
24,00:08:12:18
25,00:08:29:06
26,00:08:42:23
27_28,00:09:04:03
29,00:09:17:03
30,00:09:32:25
31,00:09:44:21
32,00:10:06:07
33,00:10:15:03
34,00:10:32:05
35,00:10:49:29
36,00:11:09:16
37,00:11:22:11
38,00:11:31:07
39,00:11:48:04
40,00:12:06:23
41,00:12:30:19
42,00:12:44:00
43,00:13:04:04
