verse,time
1,00:00:18:26
2,00:00:33:01
3,00:00:57:00
4,00:01:12:14
5,00:01:32:14
6,00:01:44:17
7,00:02:07:05
8,00:02:26:25
9,00:02:37:06
10,00:02:54:01
11,00:03:02:08
12,00:03:21:23
13,00:03:36:24
14,00:03:58:02
15,00:04:21:01
16,00:04:30:04
17,00:04:36:10
18,00:04:44:11
19,00:04:59:05
20,00:05:15:03
21,00:05:44:26
22,00:05:52:17
23,00:06:14:25
24,00:06:28:19
25,00:06:41:24
26,00:06:52:16
27,00:07:04:03
28,00:07:15:22
29,00:07:45:05
30,00:07:58:14
31,00:08:21:11
32,00:08:50:07
33,00:09:19:09
34,00:09:31:21
35,00:09:45:15
36,00:09:51:04
37,00:10:09:28
38,00:10:26:01
39,00:10:35:23
