verse,time
1,00:00:15:17
2,00:00:31:03
3,00:00:43:46
4,00:00:51:41
5,00:01:07:11
6,00:01:39:54
7,00:01:52:55
8,00:02:07:41
9,00:02:17:42
10,00:02:32:10
11,00:02:48:10
12,00:03:06:14
13,00:03:29:45
14,00:03:41:02
15,00:04:19:53
16,00:04:47:55
17,00:05:03:04
18,00:05:21:04
19,00:05:39:38
20,00:05:53:11
21,00:05:59:15
22,00:06:11:03
23,00:06:30:28
24,00:06:41:38
25,00:07:10:06
26,00:07:36:11
27,00:07:44:08
28,00:07:54:20
29,00:08:24:54
30,00:08:49:21
31,00:09:07:58
32,00:09:22:41
33,00:09:47:44
34,00:10:03:11
35,00:10:43:58
36,00:11:03:47
37,00:11:25:33
38,00:11:37:21
39,00:11:48:19
40,00:12:04:26
