verse,time
1,00:00:19:08
2,00:00:47:42
3,00:01:08:11
4,00:01:28:36
5,00:01:36:57
6,00:01:59:21
7,00:02:21:26
8,00:02:38:55
9,00:03:02:22
10,00:03:13:15
11,00:03:26:16
12,00:03:35:42
13,00:04:02:09
14_15,00:04:27:38
16,00:04:54:03
17,00:05:16:25
18,00:05:36:26
19,00:05:55:46
20,00:06:02:05
21,00:06:09:16
22,00:06:30:31
23,00:06:46:27
24,00:06:59:42
25,00:07:13:06
26,00:07:26:27
27,00:07:38:02
28,00:07:58:20
29,00:08:04:27
30,00:08:30:51
31,00:08:53:50
32,00:09:07:11
33,00:09:15:02
34,00:09:27:46
35,00:09:49:32
36,00:10:03:13
37,00:10:22:24
38,00:10:26:53
39,00:10:34:55
40,00:10:43:29
41,00:10:49:59
42,00:11:16:57
