verse,time
1,00:00:28:07
2,00:01:01:32
3,00:01:21:37
4,00:01:46:15
5,00:02:21:11
6,00:02:49:47
7,00:03:03:11
8,00:03:18:27
9,00:03:49:31
10,00:04:02:44
11,00:04:16:31
12,00:05:06:02
13,00:05:21:21
14,00:05:51:30
15,00:06:16:48
16,00:06:29:17
17,00:06:56:11
18,00:07:09:27
19,00:07:28:30
20,00:07:51:15
21,00:08:21:07
22,00:08:54:30
23,00:09:08:27
24,00:09:25:45
25,00:10:02:24
26,00:10:41:03
27,00:11:28:09
28,00:11:47:27
29,00:12:27:26
30,00:12:54:03
31,00:13:21:32
32,00:13:44:41
33,00:13:53:19
34,00:14:15:08
35_36,00:14:35:15
37,00:15:03:20
38,00:15:31:42
39,00:15:45:40
40,00:16:06:56
