verse,time
1,00:00:31:35
2,00:01:07:36
3,00:01:14:38
4,00:01:30:15
5,00:01:34:03
6,00:01:41:39
7,00:01:58:30
8,00:02:22:45
9,00:02:32:07
10,00:02:56:42
11,00:03:07:22
12,00:03:17:19
13,00:03:21:57
14,00:03:32:26
15,00:03:50:21
16,00:04:07:45
17,00:04:17:14
18,00:04:23:52
19,00:04:30:36
20,00:04:41:57
21,00:04:47:38
22,00:04:58:47
23,00:05:04:26
24,00:05:10:42
25,00:05:16:38
26_28,00:05:32:50
29,00:06:10:42
30,00:06:38:36
31,00:06:48:13
32,00:07:20:10
33,00:07:43:38
34,00:07:50:16
35,00:07:58:51
36,00:08:05:22
37,00:08:19:54
