verse,time
1,00:00:20:54
2,00:00:45:28
3,00:01:12:32
4,00:01:35:58
5,00:01:53:06
6,00:02:13:25
7,00:02:39:51
8,00:02:53:33
9,00:03:12:57
10,00:03:46:41
11,00:04:07:42
12,00:04:29:06
13,00:04:36:34
14,00:04:56:56
15,00:05:33:27
16,00:06:05:28
17,00:06:30:20
18,00:06:58:42
19,00:07:26:19
20,00:07:41:14
21,00:07:49:00
22,00:08:01:13
23,00:08:14:51
24,00:08:31:14
25,00:08:51:10
26,00:09:11:10
27,00:09:26:36
28,00:09:42:38
29,00:09:53:49
30,00:10:07:41
31,00:10:22:25
32,00:10:33:21
33,00:10:36:34
34,00:10:53:15
35,00:11:04:00
36,00:11:09:07
37,00:11:13:04
38,00:11:18:31
39,00:11:26:38
40,00:11:31:12
41,00:11:35:46
42,00:11:39:32
43,00:11:47:00
44,00:12:03:18
