verse,time
1,00:00:23:25
2,00:00:31:18
3,00:00:41:13
4,00:00:48:25
5,00:01:01:11
6,00:01:06:15
7,00:01:18:02
8,00:01:32:04
9,00:01:54:06
10,00:02:01:23
11,00:02:17:01
12,00:02:22:21
13,00:02:37:05
14,00:02:47:02
15,00:03:21:10
16,00:03:32:09
17,00:03:49:19
18,00:04:05:06
19,00:04:15:28
20,00:04:28:24
21,00:04:43:24
22,00:05:07:20
23,00:05:24:28
24,00:05:49:29
25,00:05:56:08
26,00:06:06:03
27,00:06:15:04
28,00:06:24:13
29,00:06:29:27
30,00:06:35:04
31,00:06:50:14
32,00:07:01:11
33,00:07:21:02
34,00:07:33:29
