verse,time
1,00:00:15:52
2,00:00:26:38
3,00:00:51:50
4,00:01:11:00
5,00:01:33:42
6,00:01:55:32
7,00:02:18:06
8,00:02:28:21
9,00:03:05:32
10,00:03:09:31
11,00:03:24:14
12,00:03:41:52
13,00:03:55:03
14,00:04:10:51
15,00:04:29:11
16,00:04:40:37
17,00:05:20:05
18,00:05:44:26
19,00:06:14:11
20,00:06:45:33
21,00:07:08:27
22,00:07:37:46
23,00:08:10:26
24,00:08:24:08
25,00:08:30:03
26,00:08:47:19
27,00:09:18:37
28,00:09:41:59
29,00:10:05:12
30,00:10:41:38
31,00:10:53:35
32,00:11:21:16
33,00:11:34:37
34,00:11:47:32
35,00:12:10:40
36,00:12:30:26
