verse,time
1,00:00:33:48
2,00:00:47:21
3,00:00:56:54
4,00:01:04:18
5,00:01:11:32
6,00:01:20:34
7,00:01:31:54
8,00:01:46:31
9,00:02:07:32
10,00:02:26:05
11,00:02:36:03
12,00:02:47:01
13,00:03:02:13
14,00:03:15:18
15,00:03:22:41
16,00:03:46:55
17,00:03:56:02
18,00:04:02:47
19,00:04:10:21
20,00:04:16:28
21,00:04:23:06
22,00:04:32:08
23,00:04:56:06
24,00:05:05:10
25,00:05:12:14
26,00:05:22:59
27,00:05:34:38
28,00:05:55:19
29,00:06:08:58
30,00:06:32:20
31,00:06:45:29
32,00:06:59:38
33,00:07:08:11
34,00:07:32:46
35,00:07:59:33
36,00:08:18:14
37,00:08:25:11
38,00:08:31:58
39,00:08:49:53
40,00:09:04:00
41,00:09:10:08
42,00:09:17:07
43,00:09:22:44
44,00:09:28:08
45,00:09:34:36
46,00:09:40:58
47,00:09:51:07
48,00:10:22:59
49,00:10:36:12
50,00:10:53:47
51,00:11:31:13
