verse,time
1,00:00:19:34
2,00:00:36:34
3,00:01:03:43
4,00:01:22:50
5,00:01:31:51
6,00:01:46:27
7,00:01:57:45
8,00:02:11:31
9,00:02:32:20
10,00:02:54:47
11,00:03:09:27
12,00:03:47:21
13,00:04:19:11
14,00:05:03:16
15,00:05:16:06
16,00:05:35:47
17,00:05:56:20
18,00:06:30:54
19,00:07:10:37
20,00:07:35:28
21_22,00:07:59:07
23,00:08:31:08
24,00:08:51:36
25,00:09:06:11
26,00:09:29:28
27,00:10:11:02
28,00:10:31:50
29,00:10:48:56
30,00:11:23:50
31,00:11:35:16
32,00:11:45:14
33,00:11:53:17
34,00:12:52:34
35,00:13:17:38
36,00:13:39:24
37,00:13:56:31
38,00:14:14:20
39,00:14:33:12
40,00:14:47:47
