verse,time
1,00:00:18:19
2,00:00:23:23
3,00:00:47:02
4,00:01:02:24
5,00:01:19:29
6,00:01:33:14
7,00:01:55:01
8,00:02:00:11
9,00:02:13:17
10,00:02:20:07
11,00:02:27:26
12,00:02:39:03
13_14,00:02:50:09
15,00:03:06:07
16,00:03:10:15
17,00:03:17:16
18,00:03:24:05
19,00:03:32:10
20,00:03:40:10
21,00:03:56:19
22,00:04:12:24
23,00:04:27:07
24_25,00:04:42:08
26,00:05:13:29
27,00:05:29:22
28,00:05:42:11
29,00:05:52:28
30,00:05:59:00
31,00:06:15:11
32,00:06:29:02
33,00:06:41:11
34,00:06:51:10
35,00:07:10:13
36,00:07:18:11
37,00:07:31:18
38,00:07:48:18
39,00:07:53:01
40,00:08:06:07
41,00:08:13:21
42,00:08:19:15
43,00:08:26:24
44,00:08:34:05
45,00:08:39:11
46,00:09:00:17
47_48,00:09:15:09
49,00:09:38:25
50,00:09:45:26
51_52,00:09:50:03
53,00:10:01:03
54,00:10:08:07
55,00:10:11:01
56,00:10:28:17
