verse,time
1,00:00:26:02
2,00:00:38:07
3,00:00:58:22
4,00:01:16:01
5,00:01:30:20
6,00:01:50:11
7,00:02:32:21
8,00:02:40:21
9,00:03:11:07
10,00:03:46:10
11,00:04:03:27
11,00:04:14:16
12,00:04:34:06
13,00:04:56:23
14,00:05:05:24
15,00:05:21:14
16,00:05:42:08
17,00:06:10:13
18,00:06:36:10
19,00:06:52:22
20,00:07:20:10
21,00:07:50:09
22,00:08:21:05
23,00:09:07:02
24,00:09:21:10
25,00:09:55:13
26,00:10:16:10
27,00:10:31:26
28,00:11:03:08
29,00:11:37:12
30,00:11:58:21
31,00:12:18:19
32,00:12:25:04
33,00:12:47:23
34,00:12:52:16
35,00:13:23:23
36,00:13:52:21
37,00:14:11:10
38,00:14:53:05
39,00:15:10:07
40,00:15:30:27
41,00:15:53:17
42,00:16:11:28
43,00:16:29:16
44,00:16:41:09
45,00:17:11:28
46,00:17:24:03
47,00:17:36:16
48,00:17:56:00
49,00:18:07:04
50,00:18:25:14
