verse,time
2,00:00:44:19
3,00:01:13:12
4,00:01:21:03
5,00:01:38:04
6,00:02:06:04
7,00:02:17:15
8,00:02:44:11
9,00:02:56:15
10,00:03:31:20
11,00:03:53:26
12,00:04:09:01
13,00:04:47:23
14,00:05:29:09
15,00:05:53:04
16,00:06:05:02
17,00:06:14:16
18,00:06:27:10
19,00:06:58:26
20,00:07:22:10
21_22,00:07:47:04
23,00:08:32:23
24,00:08:49:13
25,00:09:01:27
26,00:09:40:09
27,00:10:03:15
28,00:10:14:29
29,00:10:37:21
30,00:11:13:12
31,00:11:38:25
32,00:12:09:02
33,00:12:31:24
34,00:12:55:08
35,00:13:14:14
36,00:13:38:03
37,00:13:52:15
38,00:14:23:18
39,00:14:53:03
40,00:15:08:19
41,00:15:14:19
42,00:15:51:02
43,00:16:26:19
44_45,00:17:10:19
46_47,00:17:49:20
48,00:18:23:11
49,00:18:46:02
50,00:18:59:20
