verse,time
1,00:00:16:26
2,00:00:31:02
3,00:01:04:00
4,00:01:17:04
5,00:01:26:14
6,00:01:39:05
7,00:02:06:13
8,00:02:15:29
9,00:02:38:14
10,00:03:09:10
11,00:03:32:08
12,00:03:55:04
13,00:04:12:20
14,00:04:58:29
15,00:05:23:20
16,00:05:55:10
17,00:06:19:05
18,00:07:06:11
19,00:07:36:23
20_21,00:07:41:00
22,00:08:08:10
23,00:08:27:27
24,00:08:50:16
25,00:09:07:10
26,00:09:23:18
27,00:09:42:09
28,00:10:05:10
29,00:10:29:16
30,00:10:39:05
31,00:10:50:22
32,00:11:02:17
33,00:11:15:06
34,00:11:39:23
35,00:12:10:03
36,00:12:35:06
37,00:12:55:15
38,00:13:11:06
