verse,text
1,Praise the LORD because he is good! His faithful love will last forever!
2,"Israel, say it: “His faithful love will last forever!”"
3,"Aaron’s family, say it: “His faithful love will last forever!”"
4,"You people worshiping the LORD, say it: “His faithful love will last forever!”"
5,"I was in trouble, so I called to the LORD for help. The LORD answered and made me free."
6,"The LORD is with me, so I will not be afraid. No one on earth can do anything to harm me."
7,The LORD is my helper. I will see my enemies defeated.
8,It is better to trust in the LORD than to trust in people.
9,It is better to trust in the LORD than to trust in great leaders.
10,"Many enemies surrounded me, but with the LORD’S power I defeated them."
11,"They surrounded me again and again, but I defeated them with the LORD’S power."
12,"They surrounded me like a swarm of bees, but they were quickly destroyed like a fast-burning bush. I defeated them with the LORD’S power."
13,"My enemy attacked me and almost destroyed me, but the LORD helped me."
14,The LORD is my strength and my reason for singing. He saved me!
15,You can hear the victory celebration in the homes of those who live right. The LORD has shown his great power again!
16,The LORD’S arm is raised in victory. The LORD has shown his great power again.
17,"I will live and not die, and I will tell what the LORD has done."
18,"The LORD punished me, but he did not let me die."
19,"Gates of goodness, open for me, and I will come in and worship the LORD."
20,"Those are the LORD’S gates, and only good people can go through them."
21,"Lord, I thank you for answering my prayer. I thank you for saving me."
22,The stone that the builders rejected became the cornerstone.
23,"The LORD made this happen, and we think it is wonderful!"
24,This is the day the LORD has made. Let us rejoice and be happy today!
25,"The people say, “Praise the LORD! The LORD saved us!"
26,"Welcome to the one who comes in the name of the LORD.” The priests answer, “We welcome you to the LORD’S house!"
27,"The LORD is God, and he accepts us. Tie up the lamb for the sacrifice and carry it to the horns of the altar.”"
28,"Lord, you are my God, and I thank you. My God, I praise you!"
29,Praise the LORD because he is good. His faithful love will last forever.
