BookCode,Chapter,VideoId
gen,0,1113451550
gen,1,1113462490
gen,2,1113504241
gen,3,1113505974
gen,4,1113508765
gen,5,1113516957
gen,6,1113519127
gen,7,1113792122
gen,8,1113794312
gen,9,1113809841
gen,10,1113845162
gen,11,1114136132
gen,12,1114149370
gen,13,1114763719
gen,14,1114764431
gen,15,1114768213
gen,16,1114786573
gen,17,1114804676
gen,18,1114817109
gen,19,1114828803
gen,20,1114838736
gen,21,1114845307
gen,22,1115049776
gen,23,1115108429
gen,24,1115109635
gen,25,1115114531
gen,26,1115116139
gen,27,1115118165
gen,28,1115106888
gen,29,1115368578
gen,30,1115369278
gen,31,1115370596
gen,32,1115373413
gen,33,1115378076
gen,34,1115384126
gen,35,1115385255
gen,36,1115386679
gen,37,1115391495
gen,38,1115392610
gen,39,1115393280
gen,40,1115393706
gen,41,1115390387
gen,42,1115419096
gen,43,1115420443
gen,44,1115421846
gen,45,1115417628
gen,46,1115426999
gen,47,1115428535
gen,48,1115425883
gen,49,1115433052
gen,50,1115431240
exo,0,1087018258
exo,1,1087023416
exo,2,1087023572
exo,3,1087023807
exo,4,1087024005
exo,5,1087024187
exo,6,1092543698
exo,7,1092543860
exo,8,1092543981
exo,9,1092544163
exo,10,1092544325
exo,11,1092544498
exo,12,1092544607
exo,13,1092544836
exo,14,1092545007
exo,15,1092545188
exo,16,1092545445
exo,17,1092545675
exo,18,1092545791
exo,19,1092545941
exo,20,1092546110
exo,21,1092546298
exo,22,1092546540
exo,23,1093617875
exo,24,1092567603
exo,25,1092567710
exo,26,1092567860
exo,27,1092568020
exo,28,1092568135
exo,29,1092568342
exo,30,1092568591
exo,31,1092568750
exo,32,1092568846
exo,33,1092569030
exo,34,1092569138
exo,35,1092569317
exo,36,1092569464
exo,37,1092569703
exo,38,1092569871
exo,39,1092570025
exo,40,1092570184
lev,1,1097810213
lev,2,1097815162
lev,3,1097815383
lev,4,1097815548
lev,5,1097815764
lev,6,1097815886
lev,7,1097816046
lev,8,1097816212
lev,9,1097816445
lev,10,1097816590
lev,11,1097816736
lev,12,1097816959
lev,13,1097817027
lev,14,1097817247
lev,15,1097817546
lev,16,1097817759
lev,17,1097818046
lev,18,1097818152
lev,19,1097818292
lev,20,1097818605
lev,21,1097818740
lev,22,1097818871
lev,23,1097819101
lev,24,1097819375
lev,25,1097819524
lev,26,1097819817
lev,27,1097820136
jos,1,1111614370
jos,2,1111614549
jos,3,1111615312
jos,4,1111615490
jos,5,1111615694
jos,6,1111615893
jos,7,1111616243
jos,8,1111616505
jos,9,1111616785
jos,10,1111617046
jos,11,1111617610
jos,12,1111617866
jos,13,1111618001
jos,14,1111618264
jos,15,1111618392
jos,16,1111618791
jos,17,1111618863
jos,18,1111619043
jos,19,1111619258
jos,20,1111619515
jos,21,1111619633
jos,22,1111619947
jos,23,1111620263
jos,24,1111620404
jdg,1,1105994324
jdg,2,1105994558
jdg,3,1106008852
jdg,4,1106005826
jdg,5,1106005974
jdg,6,1106006137
jdg,7,1106006376
jdg,8,1106006569
jdg,9,1106006754
jdg,10,1106007008
jdg,11,1106007147
jdg,12,1106007382
jdg,13,1106007509
jdg,14,1106007686
jdg,15,1106007847
jdg,16,1106007962
jdg,17,1106008175
jdg,18,1106008251
jdg,19,1106008424
jdg,20,1106008552
jdg,21,1106008716
rut,1,1109943949
rut,2,1109944606
rut,3,1109945220
rut,4,1109945732
psa,1,1121461479
psa,2,1121461580
psa,3,1121461678
psa,4,1121461754
psa,5,1121461844
psa,6,1121461950
psa,7,1121462030
psa,8,1121462161
psa,9,1121462241
psa,10,1121462537
nam,1,1109946181
nam,2,1109946548
nam,3,1109946837
mat,0,1112230407
mat,1,1112204873
mat,2,1112231857
mat,3,1112233945
mat,4,1112234892
mat,5,1112236432
mat,6,1115400020
mat,7,1112239205
mat,8,1112241903
mat,9,1112244577
mat,10,1115401005
mat,11,1115432213
mat,12,1112247939
mat,13,1112250977
mat,14,1112810745
mat,15,1112826260
mat,16,1112828513
mat,17,1112831239
mat,18,1112834817
mat,19,1112839842
mat,20,1112848731
mat,21,1113115372
mat,22,1113117520
mat,23,1113120726
mat,24,1113123037
mat,25,1113126247
mat,26,1113128752
mat,27,1113132019
mat,28,1113537403
mrk,0,1115102212
mrk,1,1115052214
mrk,2,1115054370
mrk,3,1115055105
mrk,4,1115055916
mrk,5,1115056955
mrk,6,1115057805
mrk,7,1115059322
mrk,8,1115060199
mrk,9,1115061120
mrk,10,1115062575
mrk,11,1115064361
mrk,12,1115065729
mrk,13,1115067706
mrk,14,1115069260
mrk,15,1115072266
mrk,16,1115074181
luk,0,1118973246
luk,1,1118987294
luk,2,1119309578
luk,3,1119358557
luk,4,1119363990
luk,5,1119383768
luk,6,1121771136
luk,7,1121772592
luk,8,1119397942
luk,9,1119660829
luk,10,1119673163
luk,11,1119711656
luk,12,1119715096
luk,13,1119719357
luk,14,1121778137
luk,15,1120022719
