verse,time
1,00:00:17:46
2,00:00:39:52
3,00:01:12:03
4,00:01:37:41
5,00:01:55:31
6,00:02:13:01
7,00:02:33:06
8,00:02:47:13
9,00:03:10:51
10,00:03:37:54
11,00:04:07:33
12,00:04:48:40
13,00:05:02:07
14,00:05:11:13
15,00:05:26:29
16,00:05:56:29
17,00:06:06:29
18,00:06:22:43
19,00:06:31:58
20,00:07:04:30
21,00:07:16:16
22,00:07:37:29
23,00:07:54:34
24,00:08:05:24
25,00:08:37:12
26,00:08:57:56
27,00:09:06:47
28,00:09:41:45
29,00:10:01:57
30,00:10:34:05
31,00:10:52:28
32,00:11:21:28
33,00:12:07:05
34,00:12:22:54
35,00:13:01:32
36,00:13:12:28
37,00:13:34:42
38,00:14:06:59
39,00:14:18:47
40,00:14:54:08
41,00:15:05:58
42,00:15:20:59
43,00:15:50:21
44,00:16:14:41
45,00:16:47:29
46,00:17:15:14
47,00:17:29:37
48,00:17:44:00
49,00:18:01:19
50,00:18:29:11
51,00:18:58:51
52,00:19:21:05
53,00:19:57:05
54,00:20:23:54
55,00:20:58:23
56,00:21:24:29
57,00:21:48:08
58,00:22:08:52
