verse,time
1,00:00:17:15
2,00:00:45:35
3,00:01:07:46
4,00:01:45:04
5,00:02:04:09
6,00:02:16:37
7,00:02:44:16
8,00:02:52:19
9,00:03:07:11
10,00:03:18:03
11,00:03:36:06
12,00:03:57:32
13_14,00:04:13:28
15,00:04:40:59
16,00:05:06:10
17,00:05:23:47
18,00:05:40:23
19,00:05:56:33
20,00:06:19:22
21,00:06:41:11
22,00:06:56:56
23,00:07:22:50
24,00:07:48:32
25_26,00:08:14:15
27,00:08:33:26
28,00:08:57:14
29,00:09:12:18
30,00:09:25:18
31,00:09:45:08
32,00:10:08:10
33,00:10:18:31
34,00:10:42:31
35,00:11:11:12
36,00:11:21:16
37,00:11:49:43
38,00:12:07:47
40,00:12:44:26
41,00:13:03:17
42,00:13:55:36
43,00:14:11:54
44,00:14:33:56
45,00:14:55:08
46,00:15:35:12
47,00:15:57:16
48,00:16:31:57
49,00:16:49:58
50,00:17:06:56
51,00:17:25:44
52,00:17:36:49
