verse,time
1,00:00:24:06
2,00:00:38:08
3,00:01:04:03
4,00:01:23:52
5,00:01:54:57
6,00:02:26:01
7,00:02:55:35
8,00:03:22:08
9,00:04:07:34
10,00:04:29:41
11,00:05:16:43
12,00:05:51:39
13,00:06:12:03
14,00:06:35:11
15,00:06:55:17
16,00:07:18:04
17,00:08:00:31
18,00:08:20:55
19,00:08:47:37
20,00:09:02:11
21,00:09:31:59
22,00:10:05:42
23,00:10:38:00
24,00:10:54:51
25,00:11:14:22
26,00:11:48:15
27,00:12:13:40
28,00:12:30:37
29,00:12:40:51
30,00:13:05:45
31,00:13:33:12
32,00:13:51:47
33,00:14:08:43
34,00:14:16:31
35,00:14:44:41
36,00:15:34:16
37,00:16:08:52
38,00:16:25:21
39,00:17:08:34
40,00:17:41:04
41,00:18:10:07
42,00:18:55:01
43,00:19:59:51
44,00:21:01:48
45,00:21:42:08
46,00:22:32:11
47,00:23:01:05
48,00:23:21:57
49,00:23:52:35
50,00:24:31:40
51,00:24:55:38
52,00:25:38:28
53,00:26:32:52
54,00:26:57:37
55,00:27:10:02
56,00:27:38:19
57,00:27:52:10
58,00:28:01:08
59,00:28:28:04
60,00:28:51:59
