verse,time
1,00:00:40:14
2,00:00:49:50
3,00:01:04:33
4,00:01:20:35
5,00:01:38:05
6,00:01:46:01
7,00:01:58:50
8,00:02:11:24
9,00:02:22:54
10,00:02:34:32
11,00:02:53:15
12,00:02:57:12
13,00:03:12:06
14,00:03:18:53
15,00:03:23:52
16,00:03:40:00
17,00:03:51:29
18,00:03:55:11
19,00:04:11:46
20,00:04:17:18
21,00:04:32:12
22,00:04:42:46
23,00:04:48:23
24,00:05:15:08
25,00:05:32:05
26,00:05:36:47
27,00:05:46:08
28,00:06:02:55
29,00:06:17:19
30,00:06:28:20
31,00:06:44:54
32_33,00:06:50:51
34,00:07:08:40
35,00:07:47:04
36,00:07:55:14
37,00:08:10:42
38,00:08:16:39
