verse,time
1,00:00:17:29
2,00:00:35:28
3,00:00:53:56
4,00:01:04:57
5,00:01:15:19
6,00:01:24:29
7,00:01:35:55
8,00:01:48:27
9,00:01:58:17
10,00:02:06:12
11,00:02:17:18
12,00:02:28:12
13,00:02:36:04
14,00:02:48:16
15,00:03:13:22
16,00:03:33:35
17,00:03:57:53
18,00:04:29:40
19,00:04:52:59
20,00:05:05:00
21,00:05:27:44
22,00:05:55:26
23,00:06:27:06
24,00:06:52:06
25,00:07:06:05
26,00:07:32:16
27,00:07:54:51
28,00:08:08:58
29,00:08:30:13
30,00:08:54:19
31,00:09:20:23
32,00:09:42:53
33,00:09:49:01
34,00:10:24:52
35,00:10:29:56
36,00:11:16:51
