verse,time
1,00:00:19:20
2,00:00:27:17
3,00:00:42:29
4,00:01:11:19
5,00:01:24:13
6,00:01:36:07
7,00:01:57:23
8,00:02:16:12
9,00:02:35:24
10,00:02:53:11
11,00:03:16:00
12,00:03:27:24
13,00:03:41:17
14,00:03:59:29
15,00:04:20:13
16,00:04:36:24
17,00:04:48:27
18,00:04:54:06
19,00:05:09:08
20,00:05:24:00
21,00:05:40:15
22,00:05:54:05
23,00:06:00:23
24,00:06:14:07
25,00:06:25:22
26,00:06:46:22
27,00:07:00:00
28,00:07:14:28
29,00:07:31:29
30,00:07:42:27
31,00:08:09:02
32,00:08:26:19
33,00:08:55:02
34,00:09:22:16
35,00:09:43:15
