verse,time
1,00:00:25:18
2,00:00:38:37
3,00:00:47:58
4,00:01:10:05
5,00:01:20:32
6,00:01:33:18
7,00:01:40:28
8,00:01:48:44
9,00:02:02:19
10,00:02:19:12
11,00:02:32:12
12,00:02:46:36
13,00:03:00:25
14,00:03:11:15
15,00:03:18:09
16,00:03:33:11
17,00:03:52:09
18,00:04:09:16
19,00:04:24:53
20,00:04:36:26
21,00:04:57:25
22,00:05:06:37
23,00:05:16:43
24,00:05:31:29
25,00:05:44:56
26,00:06:01:27
27,00:06:18:35
28,00:06:37:52
29,00:07:03:24
30,00:07:11:31
31,00:07:17:35
32,00:07:39:15
33,00:07:51:40
34,00:08:03:43
35,00:08:11:16
36,00:08:23:02
37,00:08:45:16
38,00:09:21:41
39,00:09:36:21
40,00:09:50:05
