verse,time
1,00:00:23:58
2,00:00:43:43
3,00:01:06:56
4,00:01:33:51
5,00:01:59:45
6,00:02:18:49
7,00:02:39:48
8,00:02:54:59
9,00:03:17:27
10,00:03:23:40
11,00:03:30:20
12,00:03:52:36
13,00:04:05:41
14,00:04:18:52
15,00:04:24:12
16,00:04:25:02
17,00:04:44:32
18,00:04:57:58
19,00:05:12:23
20,00:05:33:40
21,00:05:46:45
22,00:05:53:35
23,00:06:10:05
24,00:06:16:47
25,00:06:30:59
26,00:06:53:38
27,00:07:14:21
28,00:07:53:25
29,00:08:00:48
30,00:08:13:43
31,00:08:21:07
32,00:08:34:18
33,00:09:00:55
34_40,00:09:25:24
41,00:10:58:21
42,00:11:21:00
43,00:11:27:43
44,00:11:36:32
45,00:11:56:22
