verse,time
1,00:00:20:26
2,00:00:48:49
3,00:01:00:27
4,00:01:54:30
5,00:02:21:03
6,00:02:32:43
7,00:02:51:31
8,00:03:35:22
9,00:04:04:48
10,00:04:27:54
11,00:05:01:51
12,00:05:28:56
13,00:05:46:57
14,00:06:06:46
15,00:06:33:36
16,00:07:05:11
17,00:08:07:51
18,00:08:33:41
19,00:08:50:48
20,00:09:16:34
21,00:09:49:59
22,00:10:22:52
23,00:10:37:05
24,00:10:55:58
25,00:11:16:07
26,00:11:44:00
27,00:12:20:07
28,00:12:58:57
29,00:13:27:08
30,00:13:54:18
31,00:14:34:35
32,00:15:07:08
33,00:15:13:42
34,00:15:49:20
35,00:16:14:02
36,00:16:38:42
