verse,time
1,00:00:25:29
2,00:00:42:22
3,00:01:02:56
4,00:01:19:42
5,00:01:33:53
6,00:01:45:58
7,00:02:00:56
8,00:02:09:29
9,00:02:26:27
10,00:02:34:50
11,00:02:59:08
12,00:03:18:02
13,00:03:44:40
14,00:03:54:49
15,00:04:15:51
16,00:04:34:58
17,00:04:51:36
18,00:05:14:23
19,00:05:31:52
20,00:05:56:06
21,00:06:10:07
22,00:06:32:27
23,00:06:51:10
24,00:07:10:23
25,00:07:38:32
26,00:07:56:53
27,00:08:15:27
28,00:08:39:02
29,00:08:50:56
30,00:09:13:24
31,00:09:26:09
32,00:09:40:32
33,00:09:56:53
34,00:10:12:22
