verse,time
1,00:00:28:01
2,00:00:56:13
3,00:01:16:14
4,00:01:23:10
5_6,00:01:44:03
7,00:02:12:12
8,00:02:32:18
9,00:02:48:28
10,00:03:15:00
11,00:03:43:28
12,00:03:55:00
13,00:04:03:23
14,00:04:36:18
15,00:04:59:22
16,00:05:25:15
17,00:05:35:00
18,00:05:56:18
19,00:06:19:22
20,00:06:45:08
21,00:07:09:05
22,00:07:22:12
23,00:07:39:17
24,00:08:13:28
25,00:08:45:01
26,00:08:52:27
27,00:09:25:04
28,00:09:43:01
29,00:10:10:02
30,00:11:06:04
31,00:11:33:29
32,00:12:41:09
33,00:13:48:14
34,00:14:14:06
35,00:14:27:27
36,00:14:37:14
37,00:15:05:09
38,00:15:22:04
39,00:15:31:18
40,00:15:57:06
41,00:16:12:15
42,00:16:28:05
43,00:17:07:09
44,00:17:35:00
45,00:17:53:20
46,00:18:09:02
47,00:18:41:22
48,00:19:08:08
49,00:19:27:17
50,00:20:00:25
51,00:20:27:02
52,00:21:09:09
53,00:21:40:07
54,00:21:57:04
