verse,time
1,00:00:18:25
2,00:00:52:14
3,00:01:05:11
4,00:01:25:28
5_6,00:01:35:19
7,00:01:54:16
8,00:02:11:23
9,00:02:36:07
10,00:02:46:21
11,00:03:14:22
12,00:03:35:25
13,00:04:05:15
14,00:04:26:06
15,00:04:44:01
16,00:05:07:10
17,00:05:32:14
18,00:05:53:09
19,00:06:15:24
20,00:06:40:25
21,00:07:34:15
22,00:07:58:01
23,00:08:18:05
24,00:08:24:25
25,00:08:42:16
26,00:09:14:28
27,00:09:34:08
28,00:09:50:28
29,00:10:07:13
30,00:10:31:24
31_32,00:10:55:09
33,00:11:45:24
34,00:12:04:06
35_36,00:12:39:28
37,00:13:15:16
38,00:13:41:23
39,00:13:56:00
40,00:14:18:17
41,00:14:32:24
