verse,time
1,00:00:19:26
2,00:00:46:27
3,00:00:51:26
4,00:00:57:16
5,00:01:05:20
6,00:01:19:15
7,00:01:31:19
8,00:01:37:13
9,00:01:49:03
10,00:02:01:22
11,00:02:20:02
12,00:02:30:20
13,00:02:38:10
14,00:03:04:10
15,00:03:29:19
16,00:03:51:29
17,00:04:03:16
18,00:04:11:27
19,00:04:26:00
20,00:04:37:28
21,00:04:55:05
22,00:05:16:20
23,00:05:37:03
24,00:06:01:07
25,00:06:34:17
26,00:06:49:02
27,00:07:12:05
28,00:07:28:05
29,00:07:43:09
30,00:08:07:11
31,00:08:37:01
32,00:08:56:29
33,00:09:19:09
34,00:09:32:06
35,00:10:01:28
36,00:10:18:07
37,00:10:32:25
38,00:10:47:13
39,00:10:55:26
40,00:11:01:25
41,00:11:18:14
42,00:11:40:19
43,00:11:49:20
44,00:12:04:07
45,00:12:23:07
46,00:12:34:10
